handle,tweet_id
java,21
graalvm,9
ionutbalosin,8
OpenJDK,7
OracleCodeOne,7
Devoxx,6
InfoQ,6
kcpeppe,5
kuksenk0,5
cl4es,5
cliff_click,5
no mentions,5
shipilev,5
jpbempel,5
mon_beck,4
nitsanw,4
heinzkabutz,4
fosdem,4
AndreiPangin,4
chriswhocodes,4
BrianGoetz,4
volker_simonis,3
PeterLawrey,3
mjpt777,3
thomaswue,3
adoptopenjdk,3
crgracie,3
iwan0www,3
epickrram,3
JUGru,3
DevoxxUK,3
RichardWarburto,3
javaperftuning,2
christhalinger,2
hirt,2
giltene,2
kittylyst,2
GeeCON,2
perliden,2
DavidBuckJP,2
sanhong_li,2
rafaelcodes,2
Google,2
pingtimeout,2
openj9,2
tstuefe,2
JohnWings,2
alblue,1
WoodenGil,1
AzulSystems,1
CGuntur,1
DanHeidinga,1
DanielShaya,1
alexprokopec,1
aardvark179,1
OptimizingJava,1
Twitter,1
TheRealClanger,1
bercut2000,1
TheDonRaab,1
GeekOutEE,1
JavaPerformance,1
Jim__Gough,1
JohnRose00,1
PaulSandoz,1
arvind_kgs,1
xLeitix,1
brendangregg,1
shelajev,1
oraclelabs,1
oraclemagazine,1
pkhuong,1
poonam_bajaj,1
rkennke,1
sadiqj,1
siddcoder,1
chbatey,1
simonebordet,1
snatverk,1
stekarmatrik,1
stuartmarks,1
tier1app,1
unlog1c,1
opsian,1
netflix,1
mstoodle,1
kstefanj,1
kingsumchow,1
kavya719,1
jerrinot,1
jean_bisutti,1
jaxlondon,1
hyc_symas,1
goldshtn,1
dougqh,1
dinfuehr,1
diegoelias_1,1
davleopo,1
corpaul,1
chvest,1
AlibabaGroup,1
