base_url,tweet_id
youtube.com,51
youtu.be,18
infoq.com,7
ionutbalosin.com,5
no link,4
fosdem.org,3
github.com,2
shipilev.net,2
researchgate.net,2
cl4es.github.io,2
cr.openjdk.java.net,2
pingtimeout.fr,2
pangin.pro,2
batey.info,1
blog.oio.de,1
hirt.se,1
groups.google.com,1
blog.openj9.org,1
blogs.oracle.com,1
docs.oracle.com,1
javaadvent.com,1
chariotsolutions.com,1
dinfuehr.github.io,1
loonytek.com,1
jpbempel.blogspot.com,1
link.medium.com,1
mail.openjdk.java.net,1
medium.com,1
mydailyjava.blogspot.com,1
psy-lob-saw.blogspot.com,1
pvk.ca,1
quora.com,1
rafael.codes,1
recallact.com,1
skillsmatter.com,1
stackoverflow.com,1
stuartmarks.wordpress.com,1
stuefe.de,1
vimeo.com,1
alblue.bandlem.com,1
